NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
574;2023;4;48;1;1;1;01;1;:;N;;;;;;;;;;;;;;;;;;;;;3;261,77260
574;2023;4;48;1;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;261,77260
575;2023;4;48;9;6;2;13;1;:;N;N;4;1;1;4;N;;;;;;;1;02;2;09;4;1;1;0;3;214,52180
575;2023;4;48;9;1;2;18;1;:;N;N;2;4;;;N;;;;;;;4;07;9;03;4;2;;;1;297,35170
576;2023;4;48;9;1;1;11;1;:;N;N;4;1;1;2;S;5;3;S;05;3;S;1;02;8;02;4;2;1;40;1;238,89670
577;2023;4;20;3;1;1;13;1;:;N;N;4;1;1;3;N;;;;;;;1;02;7;02;4;2;1;0;1;134,58540
578;2023;4;01;2;1;2;15;1;:;N;N;2;1;;;N;;;;;;;4;04;1;04;1;;;;1;134,20540
578;2023;4;01;2;6;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;2;140,20270
579;2023;4;01;2;6;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;5;09;4;1;;;2;155,80660
579;2023;4;01;2;1;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;1;02;4;2;;;1;149,14180
580;2023;4;20;9;1;3;10;2;:;N;N;4;1;2;2;S;3;2;S;04;18;S;1;02;9;10;4;2;1;20;1;163,89760
580;2023;4;20;9;1;3;09;2;:;N;N;4;1;1;4;N;;;;;;;1;02;7;01;4;2;1;32;4;176,00740
581;2023;4;20;3;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;3;09;4;1;;;1;216,97750
581;2023;4;20;3;1;1;08;1;:;N;N;4;1;1;4;N;;;;;;;1;02;2;08;3;;;32;3;179,34100
582;2023;4;48;9;1;1;05;1;:;S;N;4;4;;;N;;;;;;;4;04;9;04;4;2;;;3;290,00660
582;2023;4;48;9;1;1;05;1;:;S;N;4;4;;;N;;;;;;;4;04;;;;;;;3;290,00660
582;2023;4;48;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;09;4;1;1;37;1;285,09920
582;2023;4;48;9;6;2;12;1;:;N;S;4;1;1;2;N;;;;;;;1;02;4;09;4;1;1;37;2;278,67970
583;2023;4;48;9;6;1;03;1;:;S;N;4;3;;;N;;;;;;;;;;;;;;;3;106,44950
583;2023;4;48;9;6;2;09;1;:;N;N;3;1;;;N;;;;;;;4;04;5;04;4;2;;;2;150,15840
583;2023;4;48;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;04;4;2;1;40;1;104,78850
583;2023;4;48;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;106,44950
584;2023;4;20;3;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;08;4;2;1;40;1;146,75470
585;2023;4;20;9;6;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;2;127,98110
585;2023;4;20;9;1;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;123,64140
586;2023;4;48;1;1;3;07;2;:;N;N;4;1;1;3;N;;;;;;;1;02;5;04;4;2;1;0;1;468,48380
587;2023;4;20;3;1;1;07;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;4;37;2;163,81670
587;2023;4;20;3;6;1;07;1;:;S;N;4;1;2;3;N;;;;;;;1;02;2;09;4;1;1;0;1;159,78810
588;2023;4;48;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;03;4;2;1;40;1;224,14660
588;2023;4;48;9;6;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;213,57430
588;2023;4;48;9;6;1;11;1;:;S;N;4;1;;;S;6;2;S;10;9;S;2;05;4;09;4;1;;;2;234,00230
588;2023;4;48;9;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;236,66810
589;2023;4;48;9;1;1;09;1;:;N;N;4;1;1;2;N;;;;;;;1;02;6;02;2;;;40;2;132,32590
589;2023;4;48;9;6;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;6;02;5;;;40;1;102,54820
589;2023;4;48;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;118,17560
589;2023;4;48;9;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;134,25100
590;2023;4;48;1;6;1;08;1;:;N;N;4;1;1;4;N;;;;;;;1;02;2;09;4;1;5;14;3;290,80560
590;2023;4;48;1;1;1;01;1;:;N;;;;;;;;;;;;;;;;;;;;;4;239,72640
590;2023;4;48;1;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;4;239,72640
590;2023;4;48;1;1;1;07;1;:;N;N;4;1;1;4;N;;;;;;;1;02;2;04;2;;;24;3;358,10420
590;2023;4;48;1;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;2;04;2;;;;1;329,58680
591;2023;4;01;9;1;1;12;1;:;N;N;4;2;1;2;N;;;;;;;1;01;6;01;2;;;45;1;38,29850
591;2023;4;01;9;1;1;07;1;:;N;N;4;2;1;2;N;;;;;;;1;02;9;09;4;1;5;35;3;71,55460
591;2023;4;01;9;6;1;12;1;:;N;N;4;1;2;2;N;;;;;;;1;02;9;02;4;2;1;32;2;40,67450
592;2023;4;20;9;1;1;13;1;:;N;N;2;1;;;N;;;;;;;4;04;5;09;4;1;;;2;135,76650
592;2023;4;20;9;6;1;13;1;:;N;N;2;1;;;N;;;;;;;4;04;4;02;3;;;;1;142,77890
593;2023;4;01;2;1;1;05;1;:;N;S;4;2;;;S;6;3;S;07;3;S;2;06;8;02;4;2;;;3;187,06130
593;2023;4;01;2;1;1;07;1;:;N;N;4;2;1;2;N;;;;;;;1;02;6;08;4;2;5;40;4;303,37130
593;2023;4;01;2;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;09;4;2;1;40;1;192,75230
594;2023;4;48;9;6;2;10;1;:;N;S;4;1;1;2;N;;;;;;;1;02;3;05;4;2;1;25;2;253,07870
594;2023;4;48;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;267,40530
594;2023;4;48;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;266,46060
594;2023;4;48;9;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;303,78020
595;2023;4;48;1;6;1;18;1;:;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;202,35350
596;2023;4;48;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;02;4;2;1;40;1;200,97600
597;2023;4;20;9;1;1;12;1;:;N;S;4;1;1;2;N;;;;;;;1;02;1;02;1;;;30;1;157,46500
598;2023;4;48;9;6;1;16;1;:;N;N;2;1;;;N;;;;;;;4;04;5;04;5;;;;4;397,30990
598;2023;4;48;9;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;238,22070
598;2023;4;48;9;1;1;09;1;:;N;N;4;1;1;4;N;;;;;;;1;02;3;10;4;2;1;33;1;290,92570
598;2023;4;48;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;238,22070
599;2023;4;20;9;6;1;13;1;:;N;S;4;1;1;4;N;;;;;;;1;02;2;09;4;1;1;16;1;171,35770
600;2023;4;48;9;1;1;05;1;:;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;209,92690
600;2023;4;48;9;1;1;11;1;:;N;S;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;40;2;206,76530
600;2023;4;48;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;1;40;1;190,26340
601;2023;4;20;9;6;1;01;1;:;S;;;;;;;;;;;;;;;;;;;;;3;174,86220
601;2023;4;20;9;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;154,61490
601;2023;4;20;9;1;1;09;1;:;N;S;4;1;1;4;N;;;;;;;1;02;3;10;1;;;0;2;211,72240
601;2023;4;20;9;6;1;10;1;:;N;S;4;1;1;4;N;;;;;;;1;02;2;08;4;2;1;0;1;150,07250
602;2023;4;20;9;1;3;13;2;:;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;232,33440
602;2023;4;20;9;1;1;11;1;:;N;N;4;1;;;N;;;;;;;4;04;7;03;2;;;;4;178,30710
603;2023;4;48;9;1;2;16;1;:;N;N;2;1;;;N;;;;;;;4;04;7;03;4;2;;;1;281,53460
603;2023;4;48;9;1;1;10;1;:;N;N;4;2;1;2;N;;;;;;;1;02;7;03;4;2;1;40;3;173,03870
603;2023;4;48;9;6;1;09;1;:;N;N;4;1;1;2;N;;;;;;;1;02;3;04;4;2;1;40;3;216,99010
604;2023;4;20;9;6;2;18;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;5;;;;1;143,24700
605;2023;4;20;9;6;1;13;1;:;N;N;4;1;1;4;N;;;;;;;1;02;4;08;4;2;1;32;2;135,09200
605;2023;4;20;9;1;1;13;1;:;N;N;3;1;;;N;;;;;;;4;04;3;02;4;2;;;1;138,97280
606;2023;4;20;3;1;1;08;1;:;N;N;4;1;1;2;S;4;1;S;05;54;N;1;02;3;08;4;2;1;40;1;141,63110
606;2023;4;20;3;6;1;07;1;:;N;N;4;1;1;3;N;;;;;;;1;02;5;04;4;2;1;0;2;155,48350
607;2023;4;20;9;6;1;16;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;2;127,12090
607;2023;4;20;9;1;1;16;1;:;N;N;2;2;;;N;;;;;;;4;07;1;06;4;2;;;1;122,81030
608;2023;4;48;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;09;4;1;5;40;1;233,74280
609;2023;4;48;9;1;1;02;2;:;S;;;;;;;;;;;;;;;;;;;;;3;335,41280
609;2023;4;48;9;1;3;11;2;:;N;N;4;1;;;S;6;2;S;04;63;S;2;05;9;03;4;2;;;4;221,68700
609;2023;4;48;9;6;1;01;1;:;N;;;;;;;;;;;;;;;;;;;;;3;238,17220
609;2023;4;48;9;6;3;08;2;:;N;N;4;1;;;N;;;;;;;4;04;4;04;4;2;;;2;257,90280
609;2023;4;48;9;1;3;09;2;:;N;N;4;3;2;2;N;;;;;;;1;02;9;03;4;2;1;20;1;374,47340
610;2023;4;01;9;6;1;13;1;:;N;N;4;1;1;3;N;;;;;;;1;02;5;04;4;2;1;0;1;18,53420
610;2023;4;01;9;1;1;05;1;:;N;N;4;2;2;2;N;;;;;;;1;02;9;08;4;1;5;20;3;15,64170
611;2023;4;01;9;6;3;06;2;:;N;S;4;1;2;2;N;;;;;;;1;03;5;04;4;2;5;10;1;133,57920
611;2023;4;01;9;6;1;05;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;2;62,64440
612;2023;4;20;9;1;2;14;1;:;N;N;2;4;;;N;;;;;;;4;07;7;02;4;2;;;1;122,47950
612;2023;4;20;9;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;9;08;4;2;;;2;126,77840
613;2023;4;48;9;6;1;09;1;:;N;N;4;1;1;3;N;;;;;;;1;02;2;09;4;1;1;0;1;226,25430
614;2023;4;01;9;6;1;06;1;:;S;S;4;1;1;2;N;;;;;;;1;02;2;09;4;1;3;35;3;37,99300
614;2023;4;01;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;09;4;2;1;37;1;26,40400
615;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;3;09;4;1;5;33;1;152,91810
616;2023;4;20;9;6;1;09;1;:;N;N;4;1;2;2;N;;;;;;;1;03;2;09;4;1;5;13;2;196,32850
616;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;168,20820
616;2023;4;20;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;177,24150
616;2023;4;20;9;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;177,24150
617;2023;4;01;2;1;2;10;1;:;N;N;4;1;1;4;N;;;;;;;1;02;4;04;4;2;1;0;1;157,44480
617;2023;4;01;2;1;3;09;2;:;S;N;4;1;;;N;;;;;;;4;04;3;07;4;2;;;2;357,23820
618;2023;4;20;9;1;3;14;1;:;N;N;2;1;;;N;;;;;;;4;04;8;04;1;;;;1;140,30520
619;2023;4;48;9;6;1;12;1;:;N;S;4;1;1;2;N;;;;;;;1;01;5;08;4;2;1;70;1;187,18210
619;2023;4;48;9;6;2;11;1;:;N;N;4;1;1;2;N;;;;;;;1;01;5;08;4;2;1;70;4;184,45580
620;2023;4;20;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;35;1;108,00430
620;2023;4;20;9;1;3;09;2;:;N;N;4;3;1;2;N;;;;;;;1;02;7;04;4;2;1;32;2;238,95090
621;2023;4;20;9;6;2;17;1;:;N;N;4;2;;;N;;;;;;;4;07;;;;;;;1;144,67440
622;2023;4;01;2;6;1;13;1;:;N;N;4;1;2;3;N;;;;;;;1;02;5;04;4;2;1;0;1;141,02820
623;2023;4;20;9;6;1;04;1;:;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;189,01580
623;2023;4;20;9;1;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;8;10;2;;;32;1;184,19720
623;2023;4;20;9;6;1;11;1;:;N;N;4;1;2;2;N;;;;;;;1;02;5;09;4;1;5;30;2;201,04450
623;2023;4;20;9;1;1;06;1;:;N;N;4;2;1;4;N;;;;;;;1;02;7;02;4;2;1;32;3;251,04220
623;2023;4;20;9;1;1;05;1;:;N;N;4;3;;;N;;;;;;;4;07;9;04;4;2;;;3;214,26560
624;2023;4;01;9;1;1;11;1;:;N;N;4;2;1;2;N;;;;;;;1;02;1;04;2;;;40;2;40,89890
624;2023;4;01;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;04;2;;;40;1;40,27280
624;2023;4;01;9;1;1;05;1;:;S;N;4;3;2;2;N;;;;;;;1;02;9;04;4;2;2;24;3;36,57570
625;2023;4;20;9;6;3;03;2;:;S;;;;;;;;;;;;;;;;;;;;;3;278,85780
625;2023;4;20;9;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;224,94890
625;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;3;N;;;;;;;1;02;7;02;4;2;1;22;1;213,48420
625;2023;4;20;9;6;3;09;2;:;N;N;4;1;1;2;S;4;1;S;07;5;S;1;02;5;09;4;2;1;40;2;280,68730
626;2023;4;01;2;6;3;10;2;:;N;S;4;1;;;N;;;;;;;4;04;;;;;;;2;257,57400
626;2023;4;01;2;1;3;11;2;:;N;N;4;2;1;2;N;;;;;;;1;02;8;02;4;2;5;40;1;248,99760
627;2023;4;48;9;1;1;11;1;:;N;S;4;1;1;2;N;;;;;;;1;02;7;08;4;2;1;40;1;242,15110
627;2023;4;48;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;216,40870
627;2023;4;48;9;6;1;04;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;221,85720
627;2023;4;48;9;6;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;1;40;2;196,57310
628;2023;4;48;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;1;02;4;2;1;40;1;234,72600
629;2023;4;48;1;1;1;17;1;:;N;N;2;1;;;N;;;;;;;4;04;1;02;4;2;;;1;184,47400
630;2023;4;01;9;1;2;15;1;:;N;N;2;1;;;N;;;;;;;4;04;3;06;4;2;;;1;100,76560
630;2023;4;01;9;1;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;5;04;4;2;;;3;57,56110
630;2023;4;01;9;1;1;06;1;:;N;N;4;2;1;2;N;;;;;;;1;02;3;02;4;2;5;40;3;105,36190
630;2023;4;01;9;6;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;02;3;;;40;2;55,94560
631;2023;4;20;9;1;3;07;2;:;N;N;4;1;1;4;N;;;;;;;1;02;7;04;4;2;1;0;2;332,99780
631;2023;4;20;9;1;3;09;2;:;N;N;4;3;1;4;N;;;;;;;1;02;8;04;2;;;0;4;324,60790
631;2023;4;20;9;6;3;08;2;:;N;N;4;1;2;4;N;;;;;;;1;02;4;04;1;;;0;1;260,30650
631;2023;4;20;9;6;1;02;2;:;S;;;;;;;;;;;;;;;;;;;;;3;251,73570
632;2023;4;20;9;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;220,26560
632;2023;4;20;9;6;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;01;4;09;4;1;4;48;2;141,29510
633;2023;4;20;3;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;3;04;4;2;1;40;1;129,67330
633;2023;4;20;3;1;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;1;04;3;;;40;2;150,79040
633;2023;4;20;3;1;1;05;1;:;N;S;4;1;2;2;N;;;;;;;1;03;3;10;4;2;1;11;3;130,77280
634;2023;4;01;9;6;1;13;1;:;N;N;2;1;;;N;;;;;;;4;04;3;09;4;1;;;1;48,43720
635;2023;4;01;9;6;2;13;1;:;N;N;4;1;;;S;6;4;S;09;0;N;4;04;4;08;5;;;;1;70,05220
635;2023;4;01;9;1;1;06;1;:;N;S;4;1;1;4;N;;;;;;;1;02;6;08;4;2;1;32;3;136,09470
635;2023;4;01;9;1;2;12;1;:;N;S;4;3;1;4;N;;;;;;;1;02;6;08;1;;;32;2;82,41750
636;2023;4;48;9;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;4;03;4;2;;;1;178,83950
637;2023;4;48;1;1;1;05;1;:;N;N;4;1;2;2;N;;;;;;;1;02;5;04;4;2;1;20;3;184,50410
637;2023;4;48;1;6;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;3;09;4;2;2;24;1;178,09240
638;2023;4;48;9;6;2;15;1;:;N;N;2;1;;;N;;;;;;;4;04;5;09;4;1;;;2;158,59750
638;2023;4;48;9;1;1;16;1;:;N;N;2;1;;;N;;;;;;;4;04;7;04;4;2;;;1;148,52170
639;2023;4;48;9;6;2;14;1;:;N;S;2;1;;;N;;;;;;;4;04;5;09;4;1;;;1;181,89330
640;2023;4;01;9;1;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;08;2;;;40;1;86,58030
641;2023;4;01;9;1;3;09;2;:;N;N;4;4;1;4;N;;;;;;;1;02;8;04;4;2;1;0;3;40,09460
641;2023;4;01;9;6;3;12;2;:;N;N;4;1;1;4;N;;;;;;;1;02;5;04;4;2;1;0;3;35,64880
641;2023;4;01;9;6;3;16;2;:;N;N;2;4;;;N;;;;;;;4;07;6;01;2;;;;1;37,78810
642;2023;4;01;2;1;1;07;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;02;4;2;1;40;1;364,22160
643;2023;4;48;9;6;1;14;1;:;N;N;4;1;1;4;N;;;;;;;1;02;4;09;4;1;1;37;2;301,45410
643;2023;4;48;9;1;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;211,94260
643;2023;4;48;9;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;9;02;4;2;;;1;282,30260
644;2023;4;48;9;1;2;16;1;:;N;N;2;1;;;N;;;;;;;4;04;7;03;4;2;;;1;260,51320
644;2023;4;48;9;6;1;10;1;:;N;N;4;2;1;2;N;;;;;;;1;02;5;04;4;2;1;40;3;157,85990
645;2023;4;48;9;1;1;16;1;:;N;N;2;1;;;N;;;;;;;4;04;2;04;2;;;;1;173,59010
645;2023;4;48;9;6;1;16;1;:;N;N;4;1;;;N;;;;;;;4;04;4;04;2;;;;2;185,36660
646;2023;4;01;2;1;1;09;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;3;216,87560
646;2023;4;01;2;6;1;17;1;:;N;N;2;2;;;N;;;;;;;4;07;2;09;4;1;;;1;362,82960
647;2023;4;48;9;6;1;14;1;:;N;S;2;1;;;N;;;;;;;4;04;5;09;4;2;;;2;182,82520
647;2023;4;48;9;1;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;3;04;2;;;;1;171,21020
648;2023;4;20;3;6;1;08;1;:;N;N;4;1;1;4;N;;;;;;;1;02;4;09;4;2;1;0;1;157,55060
649;2023;4;48;9;1;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;02;9;09;4;1;5;35;1;204,61570
650;2023;4;20;9;6;1;18;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;150,53040
651;2023;4;20;9;6;1;13;1;:;N;N;4;2;;;N;;;;;;;4;07;5;04;4;2;;;2;146,99600
651;2023;4;20;9;1;1;13;1;:;N;N;3;1;;;N;;;;;;;4;04;7;02;4;2;;;1;139,77650
652;2023;4;01;9;6;1;13;1;:;N;N;4;2;;;N;;;;;;;4;07;5;09;4;1;;;1;59,77740
653;2023;4;48;9;1;1;04;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;253,65690
653;2023;4;48;9;1;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;24;2;242,05350
653;2023;4;48;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;1;23;1;229,89730
653;2023;4;48;9;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;245,74760
654;2023;4;48;9;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;7;03;4;2;;;2;150,97030
654;2023;4;48;9;6;2;17;1;:;N;N;2;1;;;N;;;;;;;4;04;9;02;4;2;;;1;161,21220
655;2023;4;20;9;6;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;2;119,83950
655;2023;4;20;9;1;3;15;1;:;N;N;2;1;;;N;;;;;;;4;04;3;04;4;2;;;1;115,77580
656;2023;4;48;9;1;1;09;1;:;N;N;4;1;1;2;N;;;;;;;1;02;9;03;4;2;1;40;1;148,46640
656;2023;4;48;9;1;1;04;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;146,17980
657;2023;4;20;9;6;1;16;1;:;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;1;159,32950
658;2023;4;20;9;6;2;14;1;:;N;N;4;1;2;4;N;;;;;;;1;02;9;08;2;;;10;2;231,97370
658;2023;4;20;9;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;224,10770
658;2023;4;20;9;1;1;05;1;:;N;N;4;3;1;4;N;;;;;;;1;02;8;02;4;2;5;24;3;159,82380
659;2023;4;20;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;35;1;154,80530
660;2023;4;20;9;1;1;16;1;:;N;N;2;3;;;N;;;;;;;4;07;8;04;4;2;;;2;113,87980
660;2023;4;20;9;6;1;17;1;:;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;1;117,87680
661;2023;4;48;9;6;2;18;1;:;N;N;2;4;;;N;;;;;;;4;07;7;04;4;2;;;1;208,98390
662;2023;4;20;3;6;1;15;1;:;N;S;2;1;;;N;;;;;;;4;04;4;09;4;1;;;1;146,75480
663;2023;4;20;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;188,33520
663;2023;4;20;9;1;1;04;1;:;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;178,26920
663;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;04;4;2;1;40;2;176,57130
663;2023;4;20;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;04;4;2;1;40;1;181,50360
664;2023;4;20;3;6;3;10;2;:;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;1;40;1;116,03080
664;2023;4;20;3;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;03;2;;;40;2;121,02330
664;2023;4;20;3;1;3;05;2;:;N;N;4;2;1;2;N;;;;;;;1;02;5;04;4;2;1;40;3;168,13260
665;2023;4;20;9;6;1;09;1;:;N;S;4;1;1;4;N;;;;;;;1;02;2;09;4;1;5;28;1;192,80950
665;2023;4;20;9;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;180,37950
665;2023;4;20;9;1;1;09;1;:;N;N;4;1;1;4;N;;;;;;;1;02;7;02;3;;;32;2;250,03230
665;2023;4;20;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;204,00080
666;2023;4;48;9;6;1;09;1;:;S;N;4;1;1;2;N;;;;;;;1;02;1;04;4;2;1;40;2;193,69860
666;2023;4;48;9;6;1;10;1;:;N;N;4;1;2;2;N;;;;;;;1;02;5;09;4;2;1;35;1;159,11040
666;2023;4;48;9;6;1;01;1;:;N;;;;;;;;;;;;;;;;;;;;;3;168,11760
667;2023;4;48;9;1;2;13;1;:;N;N;4;1;1;4;N;;;;;;;1;02;3;02;4;2;1;0;1;214,95820
668;2023;4;20;3;6;2;15;1;:;N;N;4;1;;;N;;;;;;;4;04;3;05;5;;;;1;146,68230
669;2023;4;48;1;6;2;15;1;:;N;N;2;1;;;N;;;;;;;4;04;3;05;4;2;;;2;168,44640
669;2023;4;48;1;1;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;4;02;4;2;;;1;157,74490
670;2023;4;01;2;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;3;02;4;2;;;2;137,63610
670;2023;4;01;2;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;3;03;4;2;;;1;131,74850
671;2023;4;01;2;1;1;01;1;:;S;;;;;;;;;;;;;;;;;;;;;3;211,10980
671;2023;4;01;2;1;1;11;1;:;N;S;4;1;1;2;N;;;;;;;1;02;3;05;4;2;1;35;1;238,18840
671;2023;4;01;2;6;1;09;1;:;N;S;4;1;1;2;N;;;;;;;1;02;3;05;4;2;1;35;2;204,66580
671;2023;4;01;2;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;224,97200
672;2023;4;48;1;6;1;08;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;04;4;2;1;32;1;264,03090
673;2023;4;20;9;1;3;09;2;:;N;S;4;1;1;2;N;;;;;;;1;02;7;03;4;2;1;40;1;235,62340
674;2023;4;20;9;1;1;12;1;:;N;N;3;1;;;N;;;;;;;4;04;5;09;4;2;;;3;123,28280
674;2023;4;20;9;6;1;18;1;:;N;N;4;2;;;N;;;;;;;4;07;;;;;;;1;193,48630
674;2023;4;20;9;1;1;17;1;:;N;N;2;4;;;N;;;;;;;4;07;7;04;4;2;;;2;186,92540
675;2023;4;01;9;1;2;17;1;:;N;N;2;1;;;N;;;;;;;4;04;1;04;2;;;;1;31,60750
676;2023;4;01;2;6;2;13;1;:;N;N;4;1;2;5;N;;;;;;;1;02;2;09;4;1;5;0;2;206,66660
676;2023;4;01;2;1;2;14;1;:;N;N;4;1;1;4;N;;;;;;;1;02;2;09;2;;;24;1;360,63820
677;2023;4;48;1;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;3;04;4;2;;;2;178,28670
677;2023;4;48;1;1;1;15;1;:;N;N;2;2;;;N;;;;;;;4;07;1;02;4;2;;;1;166,96010
678;2023;4;48;9;6;1;18;1;:;N;N;2;4;;;N;;;;;;;4;07;5;04;4;2;;;1;187,02680
679;2023;4;01;2;6;3;14;1;:;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;168,65520
