"age","matricule","nationality","place_birth","sex","province","household_duties","relation_to_activity1","relation_to_activity2"
11,"11484_5028",1,1,6,20,1,1,2
18,"11485_5029",1,2,1,1,1,4,4
10,"11486_5030",1,1,6,20,1,1,2
12,"11487_5031",2,3,1,48,1,4,4
7,"11488_5031",2,3,1,48,1,2,5
14,"11489_5032",1,1,6,48,1,1,2
13,"11490_5032",1,1,1,48,1,2,5
10,"11491_5033",1,3,1,1,2,1,2
4,"11492_5033",1,3,6,1,2,4,7
9,"11493_5033",1,3,6,1,1,4,4
18,"11494_5034",1,1,6,48,1,4,4
14,"11495_5035",1,1,1,20,1,4,4
14,"11496_5035",1,1,6,20,1,4,4
10,"11497_5036",1,1,1,20,1,1,2
10,"11498_5036",1,1,6,20,1,4,4
4,"11499_5036",1,1,1,20,2,1,2
13,"11500_5037",1,1,1,48,1,4,4
6,"11501_5037",1,1,1,48,1,1,2
13,"11502_5037",1,1,6,48,1,4,4
12,"11503_5038",1,1,1,1,1,1,2
10,"11504_5038",1,1,6,1,1,1,2
4,"11505_5038",1,1,6,1,2,1,3
3,"11506_5038",1,1,1,1,2,NA,NA
3,"11507_5038",1,1,1,1,NA,NA,NA
13,"11508_5039",1,1,1,48,1,1,2
13,"11509_5039",1,1,6,48,1,4,4
14,"11510_5040",1,2,1,48,1,4,4
5,"11511_5040",1,1,6,48,2,4,4
14,"11512_5040",1,2,6,48,1,4,4
13,"11513_5041",1,1,6,48,1,1,2
15,"11514_5041",1,1,1,48,1,4,4
9,"11515_5042",1,1,1,20,1,1,2
9,"11516_5042",1,1,6,20,1,1,2
3,"11517_5042",1,1,6,20,NA,NA,NA
2,"11518_5042",1,1,6,20,NA,NA,NA
9,"11519_5043",2,3,1,20,3,1,1
7,"11520_5043",2,3,6,20,1,1,1
7,"11521_5043",2,3,6,20,1,1,2
7,"11522_5043",2,3,1,20,1,1,2
12,"11523_5044",1,2,1,48,1,1,2
12,"11524_5045",1,1,6,1,1,4,4
9,"11525_5046",1,1,1,1,2,1,2
9,"11526_5046",1,3,6,1,1,2,5
3,"11527_5046",1,1,6,1,NA,NA,NA
3,"11528_5046",1,1,1,1,NA,NA,NA
10,"11529_5047",1,1,1,48,1,1,2
11,"11530_5047",1,1,6,48,1,1,2
13,"11531_5048",1,2,1,20,1,4,4
12,"11532_5048",1,1,6,20,1,1,3
5,"11533_5048",1,1,6,20,1,1,3
4,"11534_5048",1,1,6,20,1,4,4
13,"11535_5049",1,2,1,1,1,4,4
13,"11536_5049",1,1,6,1,1,4,4
11,"11537_5050",1,1,1,1,1,1,1
12,"11538_5051",1,1,1,48,1,4,4
12,"11539_5051",1,1,6,48,1,1,2
14,"11540_5052",1,1,1,20,1,4,4
17,"11541_5053",1,1,1,48,1,4,4
15,"11542_5053",1,1,6,48,1,4,4
10,"11543_5054",2,3,1,20,1,2,5
8,"11544_5054",2,3,1,20,1,4,4
16,"11545_5055",1,2,6,20,1,4,4
16,"11546_5055",1,1,1,20,1,4,4
1,"11547_5056",1,1,6,48,NA,NA,NA
10,"11548_5056",1,3,1,48,1,1,2
6,"11549_5056",1,1,6,48,1,1,2
17,"11550_5057",1,2,1,20,1,4,4
16,"11551_5057",1,1,6,20,1,4,4
3,"11552_5058",1,1,6,20,NA,NA,NA
11,"11553_5058",1,1,1,20,1,2,5
4,"11554_5058",1,1,1,20,2,4,4
18,"11555_5058",1,1,1,20,2,4,7
11,"11556_5058",1,1,6,20,1,1,2
11,"11557_5059",1,1,1,48,2,4,7
11,"11558_5060",1,1,1,48,1,2,5
11,"11559_5060",1,3,6,48,1,1,3
4,"11560_5061",1,3,1,1,2,4,4
11,"11561_5061",1,1,1,1,1,1,2
5,"11562_5061",1,1,6,1,2,4,4
9,"11563_5061",2,3,6,1,1,4,4
5,"11564_5061",1,1,1,1,2,1,2
3,"11565_5061",1,1,6,1,NA,NA,NA
11,"11566_5062",1,1,1,48,1,1,2
12,"11567_5062",1,1,6,48,1,1,2
5,"11568_5062",1,1,6,48,2,1,3
18,"11569_5063",1,1,1,48,1,4,4
17,"11570_5063",1,1,6,48,1,4,4
18,"11571_5064",1,2,6,48,2,4,7
18,"11572_5064",1,2,1,48,4,4,7
16,"11573_5065",1,1,6,20,1,4,4
11,"11574_5065",1,1,1,20,2,4,7
13,"11575_5066",1,2,6,20,1,1,2
13,"11576_5067",1,1,6,48,1,4,4
18,"11577_5068",1,2,1,20,1,4,4
16,"11578_5069",1,2,6,48,1,4,4
10,"11579_5070",1,1,6,48,1,1,1
3,"11580_5070",1,1,1,48,NA,NA,NA
10,"11581_5070",1,1,1,48,1,1,1
11,"11582_5071",1,1,6,48,1,1,2
10,"11583_5071",1,1,1,48,1,1,2
5,"11584_5071",1,1,1,48,2,1,3
3,"11585_5071",1,1,1,48,NA,NA,NA
3,"11586_5071",1,1,1,48,NA,NA,NA
11,"11587_5072",1,1,6,20,1,1,2
17,"11588_5072",1,2,1,20,3,4,7
18,"11589_5073",1,1,6,48,4,4,7
16,"11590_5074",1,2,1,20,1,4,4
15,"11591_5074",1,2,6,20,1,4,4
17,"11592_5075",1,1,6,1,1,4,4
11,"11593_5076",1,1,1,20,1,1,2
5,"11594_5076",1,1,1,20,1,1,2
4,"11595_5076",1,1,1,20,1,4,4
15,"11596_5077",1,1,6,48,1,4,4
7,"11597_5078",1,1,1,1,1,1,2
7,"11598_5078",1,1,6,1,1,2,5
10,"11599_5079",1,1,1,20,1,1,1
3,"11600_5079",1,1,1,20,NA,NA,NA
9,"11601_5079",1,1,6,20,1,1,1
2,"11602_5079",1,1,1,20,NA,NA,NA
13,"11603_5080",1,1,6,48,1,2,5
6,"11604_5080",1,1,6,48,2,1,2
6,"11605_5080",1,1,6,48,4,1,2
13,"11606_5080",1,1,1,48,1,4,4
1,"11607_5081",1,1,6,20,NA,NA,NA
2,"11608_5081",1,1,6,20,NA,NA,NA
8,"11609_5081",1,1,6,20,1,1,3
8,"11610_5081",1,1,1,20,1,1,2
15,"11611_5082",1,1,1,20,2,4,7
12,"11612_5083",1,1,6,20,1,4,4
12,"11613_5083",1,2,1,20,1,1,2
5,"11614_5083",1,1,1,20,1,4,4
14,"11615_5084",1,2,1,1,1,4,4
12,"11616_5084",1,3,6,1,1,1,2
10,"11617_5085",1,1,6,1,1,1,2
3,"11618_5085",1,2,6,1,NA,NA,NA
11,"11619_5085",1,2,1,1,2,1,2
15,"11620_5086",1,1,6,20,1,4,4
9,"11621_5086",1,1,1,20,2,2,6
15,"11622_5086",1,2,1,20,1,4,4
17,"11623_5087",1,2,1,20,1,4,4
16,"11624_5087",1,2,6,20,1,4,4
8,"11625_5088",1,3,6,1,1,1,2
3,"11626_5088",1,1,1,1,NA,NA,NA
16,"11627_5089",1,1,1,48,1,4,4
16,"11628_5089",1,1,6,48,1,4,4
12,"11629_5090",1,1,6,48,1,1,2
4,"11630_5091",1,1,6,1,1,4,4
11,"11631_5091",1,1,6,1,1,1,2
5,"11632_5091",1,1,6,1,1,4,4
12,"11633_5092",1,1,1,1,1,1,2
11,"11634_5092",1,1,6,1,1,1,2
6,"11635_5092",1,1,6,1,1,1,2
1,"11636_5093",1,1,1,20,NA,NA,NA
8,"11637_5093",1,1,1,20,1,1,2
7,"11638_5093",1,1,6,20,1,1,2
8,"11639_5094",1,1,1,20,1,1,2
4,"11640_5095",1,1,1,20,3,1,3
12,"11641_5095",1,2,1,20,1,1,1
5,"11642_5095",1,3,6,20,1,1,2
13,"11643_5096",2,3,1,48,1,1,2
8,"11644_5096",2,3,1,48,1,1,2
7,"11645_5096",2,3,6,48,1,2,5
2,"11646_5096",2,1,6,48,NA,NA,NA
10,"11647_5097",2,3,1,20,1,1,2
9,"11648_5097",1,1,6,20,1,1,2
2,"11649_5097",1,1,6,20,NA,NA,NA
2,"11650_5097",1,1,1,20,NA,NA,NA
3,"11651_5098",1,1,1,1,NA,NA,NA
3,"11652_5098",1,1,1,1,2,NA,NA
10,"11653_5098",1,1,1,1,1,1,2
2,"11654_5098",1,1,6,1,NA,NA,NA
10,"11655_5098",1,1,6,1,1,1,2
15,"11656_5099",1,1,1,20,1,4,4
14,"11657_5099",1,1,6,20,1,4,4
12,"11658_5100",1,1,1,48,3,1,2
11,"11659_5100",1,1,6,48,1,1,2
2,"11660_5100",1,1,1,48,NA,NA,NA
18,"11661_5101",1,2,6,48,1,4,4
15,"11662_5102",1,2,1,48,2,4,7
14,"11663_5102",1,1,6,48,1,4,4
13,"11664_5103",1,1,6,20,1,2,5
15,"11665_5104",1,1,6,20,1,4,4
14,"11666_5105",1,2,1,1,1,4,4
15,"11667_5106",1,1,6,48,1,4,4
9,"11668_5106",1,1,1,48,2,4,7
14,"11669_5107",1,1,1,48,1,4,4
14,"11670_5107",1,1,6,48,1,4,4
18,"11671_5108",1,1,6,1,1,4,4
11,"11672_5109",1,1,1,48,1,1,2
13,"11673_5110",1,1,6,1,1,1,2
18,"11674_5111",1,1,1,20,1,4,4
17,"11675_5111",1,1,6,20,1,4,4
12,"11676_5112",1,1,1,20,1,1,2
16,"11677_5113",1,1,6,20,1,4,4
17,"11678_5114",1,2,6,48,1,4,4
10,"11679_5114",1,1,1,48,3,4,7
11,"11680_5114",1,1,6,48,1,2,5
15,"11681_5115",1,2,1,48,2,4,7
14,"11682_5115",1,2,6,48,1,4,4
